	ClusterID	Centroid	Sample_n	Seq_n	Samples	Sequences
10	Cluster_64	Unassigned_SRR5275902_376787	9	15	SRR5275902,SRR11601791,SRR5275908,SRR5275907,SRR5275904,SRR5275897,SRR5275927,SRR5275925,SRR5275903	SRR5275902_376787,SRR11601791_221438,SRR5275908_25250,SRR5275907_51592,SRR5275904_88642,SRR5275897_280687,SRR5275897_475607,SRR5275902_294081,SRR5275927_213020,SRR5275925_755827,SRR5275904_309118,SRR5275903_336697,SRR5275925_563066,SRR5275927_218609,SRR5275927_511073
11	Cluster_68	Unassigned_SRR5275907_99016	11	16	SRR5275907,SRR5275908,SRR5275902,SRR5275906,SRR5275904,SRR5275900,SRR5275903,SRR5275919,SRR5275897,SRR5275925,SRR5275927	SRR5275907_99016,SRR5275908_193082,SRR5275908_171547,SRR5275902_446827,SRR5275906_9735,SRR5275908_418341,SRR5275904_141572,SRR5275900_134027,SRR5275903_487562,SRR5275907_21774,SRR5275919_627401,SRR5275897_447071,SRR5275900_403984,SRR5275904_283357,SRR5275925_119553,SRR5275927_585508
12	Cluster_80	Unassigned_SRR5275902_423675	7	11	SRR5275902,SRR5275906,SRR5275908,SRR5275903,SRR5275907,SRR5275904,SRR5275900	SRR5275902_423675,SRR5275906_147140,SRR5275908_216581,SRR5275908_44305,SRR5275902_290614,SRR5275903_237087,SRR5275903_358018,SRR5275907_217252,SRR5275904_297945,SRR5275900_372947,SRR5275900_211002
13	Cluster_91	Unassigned_SRR5275903_333833	10	13	SRR5275903,SRR5275900,SRR5275907,SRR5275906,SRR5275897,SRR5275904,SRR5275925,SRR5275927,SRR5275902,SRR5275908	SRR5275903_333833,SRR5275900_190056,SRR5275907_46054,SRR5275906_99463,SRR5275897_136120,SRR5275900_193455,SRR5275906_400278,SRR5275904_297820,SRR5275925_388331,SRR5275927_572071,SRR5275897_166261,SRR5275902_230288,SRR5275908_3660
14	Cluster_92	Unassigned_SRR5275904_241310	6	10	SRR5275904,SRR5275900,SRR5275908,SRR5275902,SRR5275906,SRR5275907	SRR5275904_241310,SRR5275900_404561,SRR5275900_611077,SRR5275904_28910,SRR5275908_434343,SRR5275902_143218,SRR5275906_318424,SRR5275906_124322,SRR5275908_535293,SRR5275907_214640
15	Cluster_105	Unassigned_SRR5275919_82057	8	17	SRR5275919,SRR5275900,SRR5275902,SRR5275925,SRR5275904,SRR5275903,SRR5275908,SRR5275907	SRR5275919_82057,SRR5275900_404933,SRR5275919_569079,SRR5275902_237174,SRR5275925_316839,SRR5275904_318440,SRR5275900_218128,SRR5275903_92688,SRR5275925_92072,SRR5275902_170444,SRR5275903_192879,SRR5275904_248794,SRR5275908_25121,SRR5275907_603257,SRR5275907_266292,SRR5275904_46727,SRR5275903_302045
16	Cluster_121	Unassigned_SRR5275925_702351	10	17	SRR5275925,SRR5275927,SRR5275897,SRR5275903,SRR5275907,SRR5275904,SRR5275906,SRR5275900,SRR5275902,SRR5275908	SRR5275925_702351,SRR5275927_534451,SRR5275897_303132,SRR5275903_146463,SRR5275907_337120,SRR5275907_414138,SRR5275904_105717,SRR5275903_214874,SRR5275904_250297,SRR5275906_319187,SRR5275900_477414,SRR5275902_533397,SRR5275906_373872,SRR5275908_167996,SRR5275908_412490,SRR5275902_356163,SRR5275900_338684
17	Cluster_129	Unassigned_SRR5275925_163007	7	11	SRR5275925,SRR5275903,SRR5275908,SRR5275902,SRR5275907,SRR5275906,SRR5275904	SRR5275925_163007,SRR5275903_67217,SRR5275908_246142,SRR5275908_270811,SRR5275903_174294,SRR5275902_214248,SRR5275907_136590,SRR5275906_226375,SRR5275902_491429,SRR5275906_88643,SRR5275904_362982
18	Cluster_135	Unassigned_SRR5275904_429367	8	16	SRR5275904,SRR5275903,SRR5275902,SRR5275925,SRR5275907,SRR5275908,SRR5275897,SRR5275906	SRR5275904_429367,SRR5275903_398337,SRR5275904_191523,SRR5275902_350368,SRR5275925_503031,SRR5275903_50396,SRR5275925_359914,SRR5275907_261188,SRR5275908_260971,SRR5275897_227262,SRR5275907_424206,SRR5275908_88251,SRR5275925_790134,SRR5275906_62466,SRR5275904_212369,SRR5275925_444809
19	Cluster_136	Unassigned_SRR5275897_234917	9	15	SRR5275897,SRR5275904,SRR5275906,SRR5275903,SRR5275900,SRR5275902,SRR5275908,SRR5275919,SRR5275925	SRR5275897_234917,SRR5275904_266522,SRR5275906_454024,SRR5275903_36098,SRR5275900_276079,SRR5275900_563852,SRR5275902_140497,SRR5275904_115519,SRR5275903_159050,SRR5275906_292623,SRR5275908_12712,SRR5275902_481230,SRR5275908_77953,SRR5275919_456713,SRR5275925_335188
20	Cluster_142	Unassigned_SRR5275904_65336	6	12	SRR5275904,SRR5275919,SRR5275908,SRR5275907,SRR5275903,SRR5275906	SRR5275904_65336,SRR5275919_214940,SRR5275908_428446,SRR5275907_140649,SRR5275908_338514,SRR5275919_183284,SRR5275903_317452,SRR5275907_177373,SRR5275906_613321,SRR5275906_58887,SRR5275903_211949,SRR5275904_157911
21	Cluster_149	Unassigned_SRR5275900_6783	7	14	SRR5275900,SRR5275908,SRR5275907,SRR5275925,SRR5275906,SRR5275919,SRR5275904	SRR5275900_6783,SRR5275908_517502,SRR5275907_255344,SRR5275925_147145,SRR5275906_272937,SRR5275919_239309,SRR5275925_680993,SRR5275904_287568,SRR5275908_23540,SRR5275919_115655,SRR5275904_80020,SRR5275906_500208,SRR5275907_67319,SRR5275900_581305
22	Cluster_153	Unassigned_SRR5275904_315894	6	12	SRR5275904,SRR5275903,SRR5275906,SRR5275907,SRR5275919,SRR5275908	SRR5275904_315894,SRR5275904_220561,SRR5275903_251805,SRR5275906_176690,SRR5275903_178568,SRR5275907_327719,SRR5275907_448634,SRR5275919_634267,SRR5275906_567270,SRR5275908_54574,SRR5275908_164716,SRR5275919_337861
23	Cluster_155	Unassigned_SRR5275904_199589	5	10	SRR5275904,SRR5275907,SRR5275903,SRR5275906,SRR5275908	SRR5275904_199589,SRR5275907_233703,SRR5275907_459623,SRR5275903_231021,SRR5275903_329981,SRR5275906_387770,SRR5275908_438994,SRR5275904_19280,SRR5275908_62514,SRR5275906_36617
24	Cluster_159	Unassigned_SRR5275927_234958	7	11	SRR5275927,SRR5275908,SRR5275925,SRR5275906,SRR5275900,SRR5275902,SRR5275897	SRR5275927_234958,SRR5275908_447770,SRR5275925_587908,SRR5275906_438736,SRR5275927_367927,SRR5275900_468117,SRR5275900_568973,SRR5275902_533572,SRR5275902_11449,SRR5275897_8952,SRR5275897_337452
25	Cluster_164	Unassigned_SRR5275900_430950	5	11	SRR5275900,SRR5275904,SRR5275908,SRR5275919,SRR5275906	SRR5275900_430950,SRR5275904_165924,SRR5275908_491995,SRR5275900_410113,SRR5275919_413255,SRR5275906_553658,SRR5275906_516632,SRR5275900_70088,SRR5275900_512630,SRR5275919_123481,SRR5275919_34104
26	Cluster_167	Unassigned_SRR5275903_222729	6	12	SRR5275903,SRR5275908,SRR5275919,SRR5275904,SRR5275907,SRR5275906	SRR5275903_222729,SRR5275908_373356,SRR5275919_297318,SRR5275904_211961,SRR5275907_301327,SRR5275919_544417,SRR5275908_125439,SRR5275903_516080,SRR5275906_469083,SRR5275906_508998,SRR5275904_227140,SRR5275907_563821
27	Cluster_176	Unassigned_SRR5275904_530240	7	12	SRR5275904,SRR5275908,SRR5275906,SRR5275903,SRR5275907,SRR5275900,SRR5275902	SRR5275904_530240,SRR5275908_502962,SRR5275906_221049,SRR5275908_449107,SRR5275903_384973,SRR5275907_181590,SRR5275904_318089,SRR5275906_7219,SRR5275903_179120,SRR5275900_621552,SRR5275907_64550,SRR5275902_109272
28	Cluster_190	Unassigned_SRR5275900_554041	9	13	SRR5275900,SRR5275925,SRR5275907,SRR5275904,SRR5275908,SRR5275906,SRR5275919,SRR5275902,SRR5275927	SRR5275900_554041,SRR5275925_44823,SRR5275907_503564,SRR5275904_171294,SRR5275908_254737,SRR5275906_148269,SRR5275919_313240,SRR5275902_144343,SRR5275927_109350,SRR5275919_241921,SRR5275902_81646,SRR5275906_510761,SRR5275904_231069
29	Cluster_193	Unassigned_SRR5275908_39638	5	10	SRR5275908,SRR5275919,SRR5275907,SRR5275897,SRR5275902	SRR5275908_39638,SRR5275908_267532,SRR5275919_289808,SRR5275907_419556,SRR5275897_84838,SRR5275907_517860,SRR5275902_252057,SRR5275897_367752,SRR5275919_639830,SRR5275902_466453
30	Cluster_195	Unassigned_SRR5275919_329294	8	10	SRR5275919,SRR5275925,SRR5275907,SRR5275904,SRR5275903,SRR5275900,SRR5275897,SRR5275908	SRR5275919_329294,SRR5275925_410892,SRR5275919_435392,SRR5275907_228664,SRR5275904_230483,SRR5275903_67480,SRR5275903_242583,SRR5275900_113751,SRR5275897_167611,SRR5275908_298173
31	Cluster_197	Unassigned_SRR5275906_353629	8	13	SRR5275906,SRR5275919,SRR5275900,SRR5275907,SRR5275902,SRR5275927,SRR5275908,SRR5275897	SRR5275906_353629,SRR5275919_308819,SRR5275900_335270,SRR5275907_548138,SRR5275902_17213,SRR5275927_274237,SRR5275902_257410,SRR5275908_112446,SRR5275897_412412,SRR5275897_2497,SRR5275919_303088,SRR5275906_79539,SRR5275927_48819
32	Cluster_202	Unassigned_SRR5275903_346604	8	11	SRR5275903,SRR5275906,SRR5275904,SRR5275919,SRR5275902,SRR5275925,SRR5275900,SRR5275908	SRR5275903_346604,SRR5275906_191736,SRR5275903_460412,SRR5275906_293341,SRR5275904_302970,SRR5275919_433412,SRR5275902_257200,SRR5275925_116856,SRR5275900_567206,SRR5275908_11313,SRR5275908_95229
33	Cluster_206	Unassigned_SRR5275907_345409	6	11	SRR5275907,SRR5275904,SRR5275919,SRR5275903,SRR5275906,SRR5275908	SRR5275907_345409,SRR5275904_28710,SRR5275919_290137,SRR5275904_7062,SRR5275903_300413,SRR5275906_48991,SRR5275906_558322,SRR5275919_303404,SRR5275908_120509,SRR5275903_316532,SRR5275908_211508
34	Cluster_207	Unassigned_SRR5275903_483534	8	14	SRR5275903,SRR5275897,SRR5275907,SRR5275908,SRR5275904,SRR5275906,SRR5275900,SRR5275902	SRR5275903_483534,SRR5275897_156964,SRR5275907_311826,SRR5275908_479109,SRR5275907_560907,SRR5275897_457596,SRR5275904_389782,SRR5275906_183085,SRR5275900_611414,SRR5275902_39319,SRR5275904_477835,SRR5275908_469180,SRR5275906_366354,SRR5275903_5572
35	Cluster_211	Unassigned_SRR5275919_204277	10	15	SRR5275919,SRR5275902,SRR5275904,SRR5275906,SRR5275925,SRR5275903,SRR5275907,SRR5275900,SRR5275927,SRR5275897	SRR5275919_204277,SRR5275902_85027,SRR5275902_563979,SRR5275904_374466,SRR5275906_131940,SRR5275925_627956,SRR5275903_66646,SRR5275906_349791,SRR5275907_391874,SRR5275925_179493,SRR5275919_167904,SRR5275900_437389,SRR5275903_407424,SRR5275927_692163,SRR5275897_259522
36	Cluster_212	Unassigned_SRR5275903_153921	7	11	SRR5275903,SRR5275902,SRR5275900,SRR5275919,SRR5275908,SRR5275897,SRR5275906	SRR5275903_153921,SRR5275902_301763,SRR5275900_124036,SRR5275900_16113,SRR5275919_233769,SRR5275908_287615,SRR5275897_408262,SRR5275906_520459,SRR5275903_193762,SRR5275906_214116,SRR5275919_145264
37	Cluster_214	Unassigned_SRR5275906_55518	8	12	SRR5275906,SRR5275904,SRR5275907,SRR5275903,SRR5275900,SRR5275908,SRR5275919,SRR5275902	SRR5275906_55518,SRR5275904_322652,SRR5275907_513018,SRR5275903_471566,SRR5275900_373494,SRR5275908_281266,SRR5275919_20118,SRR5275902_509292,SRR5275902_225572,SRR5275900_209924,SRR5275919_545274,SRR5275908_141835
38	Cluster_215	Unassigned_SRR5275919_39359	9	10	SRR5275919,SRR5275903,SRR5275908,SRR5275904,SRR5275907,SRR5275897,SRR5275900,SRR5275902,SRR5275925	SRR5275919_39359,SRR5275903_507835,SRR5275908_550085,SRR5275904_208868,SRR5275907_451285,SRR5275897_228275,SRR5275900_287927,SRR5275902_89287,SRR5275897_103380,SRR5275925_496011
39	Cluster_229	Unassigned_SRR5275900_520220	7	10	SRR5275900,SRR5275897,SRR5275902,SRR5275908,SRR5275919,SRR5275904,SRR5275925	SRR5275900_520220,SRR5275897_124700,SRR5275897_4025,SRR5275902_330250,SRR5275902_480296,SRR5275908_315325,SRR5275919_98923,SRR5275904_29756,SRR5275925_452780,SRR5275908_455273
40	Cluster_236	Unassigned_SRR5275903_107805	7	14	SRR5275903,SRR5275925,SRR5275906,SRR5275919,SRR5275904,SRR5275907,SRR5275908	SRR5275903_107805,SRR5275903_377467,SRR5275925_33641,SRR5275906_228487,SRR5275919_273642,SRR5275925_45003,SRR5275904_350846,SRR5275907_96338,SRR5275907_105458,SRR5275908_337811,SRR5275904_225605,SRR5275919_213297,SRR5275908_341328,SRR5275906_229845
41	Cluster_237	Unassigned_SRR5275897_117326	6	10	SRR5275897,SRR5275904,SRR5275903,SRR5275906,SRR5275908,SRR5275907	SRR5275897_117326,SRR5275904_498885,SRR5275903_472227,SRR5275906_2816,SRR5275904_182554,SRR5275908_13828,SRR5275907_561362,SRR5275908_172532,SRR5275906_79314,SRR5275907_473677
42	Cluster_243	Unassigned_SRR11602038_530096	4	10	SRR11602038,SRR11601863,SRR5275907,SRR11601791	SRR11602038_530096,SRR11602038_421810,SRR11602038_259233,SRR11601863_43963,SRR11602038_191072,SRR11602038_425279,SRR11602038_218977,SRR5275907_201721,SRR11601791_337072,SRR11602038_82503
43	Cluster_253	Unassigned_SRR5275897_351834	8	12	SRR5275897,SRR5275904,SRR5275902,SRR5275927,SRR5275903,SRR5275907,SRR5275919,SRR5275908	SRR5275897_351834,SRR5275904_178639,SRR5275902_150440,SRR5275927_643008,SRR5275903_325045,SRR5275907_435581,SRR5275927_382713,SRR5275919_38156,SRR5275903_291368,SRR5275902_562569,SRR5275907_552731,SRR5275908_182325
44	Cluster_258	Unassigned_SRR5275903_343818	7	10	SRR5275903,SRR5275919,SRR5275925,SRR5275908,SRR5275900,SRR5275907,SRR5275902	SRR5275903_343818,SRR5275919_192320,SRR5275925_47829,SRR5275919_470316,SRR5275908_434810,SRR5275900_411460,SRR5275907_17173,SRR5275902_212744,SRR5275907_107592,SRR5275902_179975
45	Cluster_259	Unassigned_SRR5275897_60284	9	17	SRR5275897,SRR5275919,SRR5275900,SRR5275907,SRR5275906,SRR5275902,SRR5275908,SRR5275903,SRR5275904	SRR5275897_60284,SRR5275919_219438,SRR5275900_450092,SRR5275907_383267,SRR5275906_269956,SRR5275907_309467,SRR5275902_556433,SRR5275908_136609,SRR5275908_120133,SRR5275919_430303,SRR5275902_56779,SRR5275903_307880,SRR5275904_345109,SRR5275904_78399,SRR5275903_260810,SRR5275900_29599,SRR5275906_145225
46	Cluster_277	Unassigned_SRR5275907_601800	9	28	SRR5275907,SRR5275919,SRR5275902,SRR5275903,SRR5275906,SRR5275908,SRR5275900,SRR5275925,SRR5275904	SRR5275907_601800,SRR5275919_517763,SRR5275902_46244,SRR5275903_484938,SRR5275906_157800,SRR5275907_324533,SRR5275908_380582,SRR5275903_64963,SRR5275900_480669,SRR5275902_57312,SRR5275906_298908,SRR5275919_299827,SRR5275908_85899,SRR5275925_555776,SRR5275904_101610,SRR5275902_34971,SRR5275904_113734,SRR5275900_582061,SRR5275906_349685,SRR5275908_69323,SRR5275904_517013,SRR5275919_217786,SRR5275906_261018,SRR5275902_448011,SRR5275903_76140,SRR5275907_515232,SRR5275907_236854,SRR5275919_15508
47	Cluster_279	Unassigned_SRR5275900_399783	9	14	SRR5275900,SRR5275897,SRR5275927,SRR5275903,SRR5275925,SRR5275902,SRR5275906,SRR5275907,SRR5275919	SRR5275900_399783,SRR5275897_413515,SRR5275927_47388,SRR5275903_135296,SRR5275925_407217,SRR5275902_34385,SRR5275906_266076,SRR5275906_158777,SRR5275900_518030,SRR5275897_422723,SRR5275902_126058,SRR5275907_253527,SRR5275903_356204,SRR5275919_200326
48	Cluster_280	Unassigned_SRR5275907_176762	9	13	SRR5275907,SRR5275908,SRR5275904,SRR5275925,SRR5275927,SRR5275897,SRR5275906,SRR5275900,SRR5275902	SRR5275907_176762,SRR5275908_442874,SRR5275904_202456,SRR5275925_648575,SRR5275927_142102,SRR5275897_379989,SRR5275906_230934,SRR5275908_469695,SRR5275900_384879,SRR5275897_110240,SRR5275900_392606,SRR5275925_726465,SRR5275902_225651
49	Cluster_282	Unassigned_SRR5275903_103074	9	17	SRR5275903,SRR5275907,SRR5275904,SRR5275919,SRR5275900,SRR5275902,SRR5275906,SRR5275908,SRR5275925	SRR5275903_103074,SRR5275907_430761,SRR5275904_231838,SRR5275919_496993,SRR5275900_508874,SRR5275902_502717,SRR5275906_275071,SRR5275903_136198,SRR5275908_191895,SRR5275904_326440,SRR5275907_248974,SRR5275902_437128,SRR5275919_102543,SRR5275925_574148,SRR5275925_171165,SRR5275908_223863,SRR5275908_136315
50	Cluster_284	Unassigned_SRR5275907_286385	6	12	SRR5275907,SRR5275906,SRR5275908,SRR5275903,SRR5275904,SRR5275919	SRR5275907_286385,SRR5275906_194062,SRR5275906_429215,SRR5275907_375446,SRR5275908_436074,SRR5275903_327997,SRR5275903_168702,SRR5275904_166240,SRR5275904_79730,SRR5275908_118721,SRR5275919_247576,SRR5275919_331329
51	Cluster_285	Unassigned_SRR5275908_149831	7	15	SRR5275908,SRR5275919,SRR5275906,SRR5275907,SRR5275903,SRR5275902,SRR5275904	SRR5275908_149831,SRR5275919_222797,SRR5275906_318136,SRR5275907_517754,SRR5275903_203203,SRR5275908_180262,SRR5275902_222651,SRR5275919_605497,SRR5275906_599804,SRR5275919_81141,SRR5275903_282478,SRR5275904_323536,SRR5275907_411626,SRR5275908_430952,SRR5275919_268207
52	Cluster_287	Unassigned_SRR11601881_48301	8	16	SRR11601881,SRR11601852,SRR11602038,SRR11601839,SRR11601863,SRR11601551,SRR11601608,SRR11601791	SRR11601881_48301,SRR11601852_32500,SRR11601881_166325,SRR11602038_503637,SRR11601839_2562,SRR11601863_77707,SRR11601551_19668,SRR11601852_76372,SRR11602038_545271,SRR11601608_10037,SRR11601852_61819,SRR11602038_632686,SRR11601791_78803,SRR11601881_154167,SRR11601863_10877,SRR11601551_7362
53	Cluster_293	Unassigned_SRR5275907_48739	6	12	SRR5275907,SRR5275908,SRR5275902,SRR5275900,SRR5275904,SRR5275919	SRR5275907_48739,SRR5275908_433481,SRR5275902_187608,SRR5275900_155596,SRR5275904_309750,SRR5275907_127219,SRR5275919_415897,SRR5275900_129162,SRR5275919_476843,SRR5275908_83168,SRR5275902_311214,SRR5275904_165244
54	Cluster_296	Unassigned_SRR5275902_466039	8	13	SRR5275902,SRR5275906,SRR5275907,SRR5275900,SRR5275903,SRR5275919,SRR5275897,SRR5275904	SRR5275902_466039,SRR5275906_253093,SRR5275907_302275,SRR5275900_508333,SRR5275903_74373,SRR5275906_548023,SRR5275919_71753,SRR5275900_131367,SRR5275902_403760,SRR5275897_475671,SRR5275904_235958,SRR5275919_95873,SRR5275904_530620
55	Cluster_310	Unassigned_SRR5275904_231753	7	10	SRR5275904,SRR5275919,SRR5275900,SRR5275906,SRR5275903,SRR5275908,SRR5275902	SRR5275904_231753,SRR5275919_491105,SRR5275900_475396,SRR5275904_75297,SRR5275906_434292,SRR5275906_299643,SRR5275903_264565,SRR5275908_249953,SRR5275908_350908,SRR5275902_121192
56	Cluster_319	Unassigned_SRR5275903_302951	7	12	SRR5275903,SRR5275908,SRR5275904,SRR5275906,SRR5275907,SRR5275902,SRR5275900	SRR5275903_302951,SRR5275908_67193,SRR5275904_288127,SRR5275906_603785,SRR5275903_456055,SRR5275907_443744,SRR5275904_263048,SRR5275908_474360,SRR5275902_426671,SRR5275906_536370,SRR5275900_129699,SRR5275907_203492
57	Cluster_329	Unassigned_SRR5275906_369731	8	13	SRR5275906,SRR5275900,SRR5275907,SRR5275903,SRR5275904,SRR5275902,SRR5275908,SRR5275919	SRR5275906_369731,SRR5275900_142665,SRR5275907_328155,SRR5275906_403722,SRR5275903_162276,SRR5275903_315691,SRR5275904_371861,SRR5275902_234335,SRR5275908_457758,SRR5275907_237090,SRR5275919_501285,SRR5275919_25681,SRR5275908_393421
58	Cluster_331	Unassigned_SRR5275907_493851	8	11	SRR5275907,SRR5275919,SRR5275925,SRR5275927,SRR5275908,SRR5275903,SRR5275904,SRR5275906	SRR5275907_493851,SRR5275919_272420,SRR5275925_8175,SRR5275919_166183,SRR5275927_464976,SRR5275908_494391,SRR5275903_117960,SRR5275904_128743,SRR5275906_282373,SRR5275903_218634,SRR5275907_74155
59	Cluster_332	Unassigned_SRR5275903_129391	5	10	SRR5275903,SRR5275908,SRR5275919,SRR5275904,SRR5275906	SRR5275903_129391,SRR5275908_315748,SRR5275919_369394,SRR5275904_116999,SRR5275903_42495,SRR5275919_454834,SRR5275908_356811,SRR5275906_480516,SRR5275904_166565,SRR5275906_446101
60	Cluster_334	Unassigned_SRR5275925_272754	8	10	SRR5275925,SRR5275897,SRR5275927,SRR5275919,SRR5275906,SRR5275907,SRR5275902,SRR5275908	SRR5275925_272754,SRR5275897_120487,SRR5275927_93376,SRR5275927_271385,SRR5275919_97392,SRR5275906_426313,SRR5275907_161271,SRR5275902_130310,SRR5275908_197616,SRR5275919_377237
61	Cluster_336	Unassigned_SRR5275908_336775	10	11	SRR5275908,SRR5275902,SRR5275897,SRR5275925,SRR5275927,SRR5275904,SRR5275903,SRR5275919,SRR5275900,SRR5275906	SRR5275908_336775,SRR5275902_274265,SRR5275897_396545,SRR5275925_501560,SRR5275927_340995,SRR5275904_151392,SRR5275903_14623,SRR5275919_605115,SRR5275900_625564,SRR5275906_368554,SRR5275906_273287
62	Cluster_348	Unassigned_SRR5275900_265857	6	10	SRR5275900,SRR5275903,SRR5275904,SRR5275908,SRR5275902,SRR5275925	SRR5275900_265857,SRR5275903_261631,SRR5275900_480951,SRR5275904_159863,SRR5275908_131092,SRR5275903_506389,SRR5275908_344830,SRR5275904_22739,SRR5275902_372281,SRR5275925_691116
63	Cluster_355	Unassigned_SRR5275904_388943	10	10	SRR5275904,SRR5275919,SRR5275925,SRR5275927,SRR5275907,SRR5275908,SRR5275900,SRR5275906,SRR5275897,SRR5275902	SRR5275904_388943,SRR5275919_443154,SRR5275925_274647,SRR5275927_481386,SRR5275907_468291,SRR5275908_314384,SRR5275900_71588,SRR5275906_257051,SRR5275897_27460,SRR5275902_58874
